patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed
058_rename-local_fn-'msm_proc_raw_diffs'-rename-'type'-to-'new_type_535054'.patch,11,154,590,0,4614,10149,4631,8993,10
059_modify-num-lit_0-to-2.patch,1,155,50,1,4614,10149,4614,10149,1
060_add-comment_fn-'msm_add_dff_segment'.patch,1,157,128,0,4615,10151,4574,10064,2
061_delete-stmt_fn-'msm_substr_from_str_arr'-delete-from-b2041.patch,1,155,15,0,4590,10101,4590,10099,3
062_insert-decl_fn-'msm_add_dff_segment'-insert-at-829740.patch,1,156,12,0,4597,10116,4597,10115,5
063_rename-local_fn-'msm_proc_raw_diffs'-rename-'i'-to-'new_i_862151'.patch,5,154,377,0,4597,10115,4597,10109,3
064_modify-num-lit_0-to-2.patch,1,156,15,1,4597,10115,4597,10115,1
065_add-comment_fn-'msm_substr_from_str_arr'.patch,1,156,131,0,4598,10117,4398,9693,2
066_delete-stmt_fn-'msm_proc_raw_diffs'-delete-from-b19222.patch,1,154,62,1,4530,9960,4530,9960,4
067_insert-decl_fn-'msm_free_diff_result'-insert-at-93689.patch,1,152,16,0,4537,9975,4537,9971,3
068_rename-local_fn-'msm_proc_raw_diffs'-rename-'a_idx'-to-'new_a_idx_607307'.patch,31,159,887,0,4537,9975,4615,8932,31
069_modify-num-lit_23608-to-23609.patch,1,153,12,1,4537,9975,4537,9975,1
070_add-comment_fn-'msm_diff_generic'.patch,1,154,137,0,4538,9977,3515,7581,2
071_delete-stmt_fn-'msm_diff_generic'-delete-from-b6636.patch,1,154,51,0,4533,9965,4533,9965,3
072_insert-decl_fn-'msm_add_dff_segment'-insert-at-933569.patch,1,154,12,0,4540,9980,4540,9979,2
073_rename-local_fn-'<anon>'-rename-'i'-to-'new_i_911041'.patch,2,158,792,0,4540,9979,4553,8341,2
074_modify-num-lit_0-to-5.patch,1,153,44,1,4540,9979,4540,9979,1
