patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed,file_size_bytes,commit_hash,file_path
001_delete-stmt_fn-'msm_free_diff_result'-delete-from-b1023.patch,1,198,16,1,5265,9573,5265,9573,3,24345,patch,base.c
002_insert-decl_fn-'msm_diff'-insert-at-288390.patch,1,181,16,1,5272,9587,5272,9587,3,24378,patch,base.c
003_rename-local_fn-'compare_char_seq'-rename-'prev_b'-to-'new_prev_b_234063'.patch,2,187,17,0,5272,9587,5272,9587,2,24400,patch,base.c
004_modify-num-lit_0-to-5.patch,1,180,27,1,5272,9587,5272,9587,1,24400,patch,base.c
005_add-comment_fn-'msm_free_diff_result'.patch,1,180,15,0,5273,9589,5272,9587,2,24437,patch,base.c
006_delete-stmt_fn-'msm_proc_raw_diffs'-delete-from-b19688.patch,1,182,33,0,5264,9571,5264,9571,2,24411,patch,base.c
007_insert-decl_fn-'msm_free_diff_result'-insert-at-619177.patch,1,184,15,1,5271,9585,5271,9585,3,24444,patch,base.c
008_rename-local_fn-'msm_proc_raw_diffs'-rename-'start_a'-to-'new_start_a_33336'.patch,43,190,357,0,5271,9585,5312,9402,34,24874,patch,base.c
009_modify-num-lit_0-to-0.patch,0,195,47,1,5271,9585,5271,9585,0,24874,patch,base.c
