patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed,file_size_bytes,commit_hash,file_path
132b86dc_lib_circogen__blockpath.c,0,212,0,2,5499,11853,0,0,0,16985,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/circogen//blockpath.c
132b86dc_plugin_gd__gvrender_gd_vrml.c,0,311,0,2,7918,16623,0,0,0,24916,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/gd//gvrender_gd_vrml.c
132b86dc_plugin_gd__gvtextlayout_gd.c,0,48,0,2,1300,2669,0,0,0,5589,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/gd//gvtextlayout_gd.c
132b86dc_lib_circogen__blocktree.c,0,63,0,2,1704,3674,0,0,0,5741,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/circogen//blocktree.c
132b86dc_plugin_gdk__gvdevice_gdk.c,0,36,0,2,803,1605,0,0,0,3536,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/gdk//gvdevice_gdk.c
132b86dc_lib_gvc__gvconfig.c,0,171,0,2,5170,10326,0,0,0,18676,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvconfig.c
132b86dc_lib_gvc__gvcontext.c,0,24,0,2,710,1501,0,0,0,2917,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvcontext.c
132b86dc_plugin.demo_xgtk_src__interface.c,0,169,0,2,3166,7157,0,0,0,13376,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin.demo/xgtk/src//interface.c
132b86dc_plugin_gdk__gvloadimage_gdk.c,0,59,0,2,1432,3016,0,0,0,5757,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/gdk//gvloadimage_gdk.c
132b86dc_plugin_gdk__gvplugin_gdk.c,0,2,0,2,93,169,0,0,0,946,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/gdk//gvplugin_gdk.c
132b86dc_lib_circogen__circpos.c,0,126,0,2,2933,6822,0,0,0,13009,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/circogen//circpos.c
132b86dc_plugin_ascii__gvplugin_ascii.c,0,41,0,2,991,2170,0,0,0,4128,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/ascii//gvplugin_ascii.c
132b86dc_lib_neatogen__bfs.c,0,26,0,2,732,1633,0,0,0,2735,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//bfs.c
132b86dc_lib_circogen__circular.c,0,40,0,2,1194,2501,0,0,0,4057,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/circogen//circular.c
132b86dc_plugin_gs__gvloadimage_gs.c,0,84,0,2,1896,4091,0,0,0,6542,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/gs//gvloadimage_gs.c
132b86dc_plugin_gs__gvplugin_gs.c,0,2,0,2,77,138,0,0,0,851,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/gs//gvplugin_gs.c
132b86dc_lib_neatogen__call_tri.c,0,30,0,2,823,1841,0,0,0,2726,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//call_tri.c
132b86dc_plugin_kitty__gvdevice_kitty.c,0,33,0,2,827,1756,0,0,0,3603,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/kitty//gvdevice_kitty.c
132b86dc_plugin_kitty__gvplugin_kitty.c,0,2,0,2,77,138,0,0,0,931,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/kitty//gvplugin_kitty.c
132b86dc_lib_neatogen__circuit.c,0,17,0,2,530,1144,0,0,0,1993,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//circuit.c
132b86dc_plugin_lasi__gvplugin_lasi.c,0,3,0,2,109,200,0,0,0,1045,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/lasi//gvplugin_lasi.c
132b86dc_plugin_neato_layout__gvlayout_neato_layout.c,0,22,0,2,704,1339,0,0,0,3089,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/neato_layout//gvlayout_neato_layout.c
132b86dc_plugin_neato_layout__gvplugin_neato_layout.c,0,2,0,2,83,148,0,0,0,923,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/neato_layout//gvplugin_neato_layout.c
132b86dc_lib_circogen__circularinit.c,0,78,0,2,2027,4336,0,0,0,7418,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/circogen//circularinit.c
132b86dc_lib_circogen__edgelist.c,0,17,0,2,534,1055,0,0,0,1916,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/circogen//edgelist.c
132b86dc_lib_circogen__nodelist.c,0,20,0,2,601,1298,0,0,0,2296,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/circogen//nodelist.c
132b86dc_tclpkg_gdtclft__gdtclft.c,0,411,0,2,11090,22349,0,0,0,44365,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/gdtclft//gdtclft.c
132b86dc_tclpkg_gv__gv_builtins.c,0,0,0,2,23,39,0,0,0,581,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/gv//gv_builtins.c
132b86dc_plugin_core__gvloadimage_core.c,0,151,0,2,3244,6681,0,0,0,10398,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/core//gvloadimage_core.c
132b86dc_tclpkg_gv__gv_dummy_init.c,0,1,0,2,82,142,0,0,0,206,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/gv//gv_dummy_init.c
132b86dc_plugin_core__gvplugin_core.c,0,11,0,2,365,680,0,0,0,2455,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/core//gvplugin_core.c
132b86dc_tclpkg_gv__gv_java_init.c,0,12,0,2,346,709,0,0,0,1503,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/gv//gv_java_init.c
132b86dc_tclpkg_gv__gv_php_init.c,0,5,0,2,212,392,0,0,0,1217,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/gv//gv_php_init.c
132b86dc_tclpkg_gv__gv_tcl_init.c,0,9,0,2,274,532,0,0,0,1380,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/gv//gv_tcl_init.c
132b86dc_tclpkg_tcldot__no_builtins.c,0,0,0,2,23,39,0,0,0,581,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tcldot//no_builtins.c
132b86dc_lib_neatogen__closest.c,0,118,0,2,2660,6100,0,0,0,8664,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//closest.c
132b86dc_lib_common__args.c,0,49,0,2,1524,3047,0,0,0,5053,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/common//args.c
132b86dc_lib_gvc__gvevent.c,0,185,0,2,4521,9749,0,0,0,14660,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvevent.c
132b86dc_lib_neatogen__compute_hierarchy.c,0,20,0,2,550,1205,0,0,0,3532,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//compute_hierarchy.c
132b86dc_lib_gvc__gvjobs.c,0,22,0,2,636,1384,0,0,0,3358,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvjobs.c
132b86dc_tclpkg_tcldot__tcldot-edgecmd.c,0,59,0,2,1492,3168,0,0,0,5017,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tcldot//tcldot-edgecmd.c
132b86dc_plugin_pango__gvgetfontlist_pango.c,0,145,0,2,3577,7579,0,0,0,16146,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/pango//gvgetfontlist_pango.c
132b86dc_lib_gvc__gvlayout.c,0,26,0,2,729,1610,0,0,0,3017,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvlayout.c
132b86dc_lib_gvc__gvloadimage.c,0,14,0,2,365,784,0,0,0,1832,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvloadimage.c
132b86dc_lib_neatogen__conjgrad.c,0,61,0,2,1777,3948,0,0,0,6231,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//conjgrad.c
132b86dc_cmd_gvmap__make_map.c,0,671,0,2,15142,34520,0,0,0,49728,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/gvmap//make_map.c
132b86dc_cmd_gvmap__power.c,0,21,0,2,558,1209,0,0,0,2679,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/gvmap//power.c
132b86dc_plugin_pango__gvloadimage_pango.c,0,71,0,2,1542,3339,0,0,0,5429,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/pango//gvloadimage_pango.c
132b86dc_plugin_pango__gvplugin_pango.c,0,3,0,2,125,231,0,0,0,1163,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/pango//gvplugin_pango.c
132b86dc_cmd_gvpr__gvprmain.c,0,16,0,2,606,1157,0,0,0,2207,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/gvpr//gvprmain.c
132b86dc_cmd_smyrna__arcball.c,0,52,0,2,1182,2533,0,0,0,6189,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna//arcball.c
132b86dc_lib_neatogen__constrained_majorization.c,0,121,0,2,3357,7453,0,0,0,13021,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//constrained_majorization.c
132b86dc_plugin_core__gvrender_core_dot.c,0,293,0,2,6493,14225,0,0,0,22006,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/core//gvrender_core_dot.c
132b86dc_tclpkg_tcldot__tcldot-graphcmd.c,0,246,0,2,5546,12326,0,0,0,17272,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tcldot//tcldot-graphcmd.c
132b86dc_lib_neatogen__constrained_majorization_ipsep.c,0,112,0,2,3232,7080,0,0,0,12873,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//constrained_majorization_ipsep.c
132b86dc_tclpkg_tcldot__tcldot-id.c,0,22,0,2,645,1306,0,0,0,2815,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tcldot//tcldot-id.c
132b86dc_plugin_pango__gvrender_pango.c,0,205,0,2,4752,10117,0,0,0,17772,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/pango//gvrender_pango.c
132b86dc_tclpkg_tcldot__tcldot-io.c,0,21,0,2,630,1360,0,0,0,2961,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tcldot//tcldot-io.c
132b86dc_lib_gvc__gvplugin.c,0,277,0,2,7255,15441,0,0,0,28287,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvplugin.c
132b86dc_cmd_smyrna__draw.c,0,195,0,2,4208,9292,0,0,0,11610,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna//draw.c
132b86dc_plugin_pango__gvtextlayout_pango.c,0,81,0,2,2030,4299,0,0,0,8447,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/pango//gvtextlayout_pango.c
132b86dc_tclpkg_tcldot__tcldot-nodecmd.c,0,86,0,2,2077,4471,0,0,0,6662,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tcldot//tcldot-nodecmd.c
132b86dc_cmd_smyrna__glexpose.c,0,46,0,2,1111,2310,0,0,0,4057,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna//glexpose.c
132b86dc_plugin_poppler__gvloadimage_poppler.c,0,29,0,2,939,1772,0,0,0,3778,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/poppler//gvloadimage_poppler.c
132b86dc_plugin_poppler__gvplugin_poppler.c,0,2,0,2,77,138,0,0,0,891,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/poppler//gvplugin_poppler.c
132b86dc_plugin_core__gvrender_core_fig.c,0,189,0,2,3793,8225,0,0,0,14692,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/core//gvrender_core_fig.c
132b86dc_cmd_smyrna__glmotion.c,0,34,0,2,726,1674,0,0,0,2718,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna//glmotion.c
132b86dc_plugin_quartz__gvdevice_quartz.c,0,35,0,2,912,1735,0,0,0,5045,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/quartz//gvdevice_quartz.c
132b86dc_plugin_quartz__gvloadimage_quartz.c,0,38,0,2,1082,2108,0,0,0,4378,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/quartz//gvloadimage_quartz.c
