patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed,file_size_bytes,commit_hash,file_path
9ced6172_crates_cli_src_templates__py-binding.c,0,7,0,2,245,405,0,0,0,858,9ced6172de6737591a164f1d5b486588f3b98fc6,crates/cli/src/templates//py-binding.c
9ced6172_test_fixtures_test_grammars_external_extra_tokens__scanner.c,0,7,0,2,246,444,0,0,0,904,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/external_extra_tokens//scanner.c
9ced6172_test_fixtures_test_grammars_epsilon_external_extra_tokens__scanner.c,0,3,0,2,151,255,0,0,0,711,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/epsilon_external_extra_tokens//scanner.c
9ced6172_test_fixtures_test_grammars_get_col_eof__scanner.c,0,8,0,2,224,403,0,0,0,1063,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/get_col_eof//scanner.c
9ced6172_test_fixtures_test_grammars_epsilon_external_tokens__scanner.c,0,8,0,2,149,252,0,0,0,695,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/epsilon_external_tokens//scanner.c
9ced6172_test_fixtures_test_grammars_get_col_should_hang_not_crash__scanner.c,0,6,0,2,126,222,0,0,0,652,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/get_col_should_hang_not_crash//scanner.c
9ced6172_lib_src_wasm__stdlib.c,0,20,0,2,783,1282,0,0,0,2871,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src/wasm//stdlib.c
9ced6172_test_fixtures_test_grammars_inverted_external_token__scanner.c,0,21,0,2,312,573,0,0,0,1177,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/inverted_external_token//scanner.c
9ced6172_test_fixtures_test_grammars_external_unicode_column_alignment__scanner.c,0,17,0,2,556,1035,0,0,0,2009,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/external_unicode_column_alignment//scanner.c
9ced6172_test_fixtures_test_grammars_external_and_internal_anonymous_tokens__scanner.c,0,25,0,2,401,751,0,0,0,1602,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/external_and_internal_anonymous_tokens//scanner.c
9ced6172_test_fixtures_test_grammars_external_and_internal_tokens__scanner.c,0,21,0,2,401,751,0,0,0,1548,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/external_and_internal_tokens//scanner.c
9ced6172_test_fixtures_test_grammars_depends_on_column__scanner.c,0,7,0,2,171,295,0,0,0,804,9ced6172de6737591a164f1d5b486588f3b98fc6,test/fixtures/test_grammars/depends_on_column//scanner.c
9ced6172_lib_src__alloc.c,0,30,0,2,492,879,0,0,0,1542,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src//alloc.c
9ced6172_lib_src__language.c,0,75,0,2,2413,4396,0,0,0,8514,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src//language.c
9ced6172_lib_src__lib.c,0,1,0,2,73,119,0,0,0,280,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src//lib.c
9ced6172_lib_src__lexer.c,0,206,0,2,3408,6387,0,0,0,15124,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src//lexer.c
9ced6172_lib_src__tree.c,0,55,0,2,1565,2866,0,0,0,5272,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src//tree.c
9ced6172_lib_src__node.c,0,396,0,2,6247,11628,0,0,0,25429,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src//node.c
9ced6172_lib_src__stack.c,0,427,0,2,8499,15898,0,0,0,28636,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src//stack.c
9ced6172_lib_src__wasm_store.c,0,500,0,2,14984,25018,0,0,0,62264,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src//wasm_store.c
9ced6172_lib_src__subtree.c,0,353,0,2,9604,18162,0,0,0,34540,9ced6172de6737591a164f1d5b486588f3b98fc6,lib/src//subtree.c
